claim,value
version,0.39.0
schema_version,1.0
metric_count,5
metric_store_partitions,25
initialisation_boundary_partitions_read,2
sample_query_days,7
sample_query_metric_partitions,1
sample_query_metric_files_hashed,1
sample_query_partition_reduction_fraction,0.96
sample_query_exact_parity,true
cross_month_metric_partitions,2
unknown_metric_rejected,true
overwide_query_rejected,true
tamper_rejected_before_serve,true
max_query_days,366
no_ingestion_time_claim,true
